,Total households
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",2626
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",3115
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",2423
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",1096
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",1393
"Barker village, New York: Summary level: 160, state:36> place:04440",219
"Barneveld village, New York: Summary level: 160, state:36> place:04528",106
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",807
"Batavia city, New York: Summary level: 160, state:36> place:04715",6379
"Bath village, New York: Summary level: 160, state:36> place:04759",2822
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",361
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",747
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",3217
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",9491
"Bayville village, New York: Summary level: 160, state:36> place:05034",2458
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",2143
"Beacon city, New York: Summary level: 160, state:36> place:05100",5528
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",797
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",737
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",1177
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",425
"Bellerose village, New York: Summary level: 160, state:36> place:05639",394
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",572
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",277
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",88
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",5522
"Bellport village, New York: Summary level: 160, state:36> place:05771",1038
"Belmont village, New York: Summary level: 160, state:36> place:05815",451
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",109
"Bergen village, New York: Summary level: 160, state:36> place:06046",489
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",5803
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",2241
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",586
"Binghamton city, New York: Summary level: 160, state:36> place:06607",20079
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",0
"Black River village, New York: Summary level: 160, state:36> place:06794",579
"Blasdell village, New York: Summary level: 160, state:36> place:06849",1131
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",1697
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",225
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",126
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",608
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",211
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",93
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",1652
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",3564
"Bolivar village, New York: Summary level: 160, state:36> place:07190",458
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",297
"Boonville village, New York: Summary level: 160, state:36> place:07355",838
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",263
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",237
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",13973
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",1705
"Brewster village, New York: Summary level: 160, state:36> place:08070",877
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",625
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",2674
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",593
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",605
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",184
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",15567
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",1076
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",962
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",626
"Brockport village, New York: Summary level: 160, state:36> place:08466",2504
"Brocton village, New York: Summary level: 160, state:36> place:08488",661
"Bronxville village, New York: Summary level: 160, state:36> place:08532",2203
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",1063
"Brookville village, New York: Summary level: 160, state:36> place:10132",792
"Brownville village, New York: Summary level: 160, state:36> place:10231",351
"Brushton village, New York: Summary level: 160, state:36> place:10286",206
"Buchanan village, New York: Summary level: 160, state:36> place:10341",881
"Buffalo city, New York: Summary level: 160, state:36> place:11000",112037
"Burdett village, New York: Summary level: 160, state:36> place:11132",154
"Burke village, New York: Summary level: 160, state:36> place:11154",78
"Busti CDP, New York: Summary level: 160, state:36> place:11440",139
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",30
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",519
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",1469
"Caledonia village, New York: Summary level: 160, state:36> place:11704",938
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",79
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",2879
"Cambridge village, New York: Summary level: 160, state:36> place:11825",781
"Camden village, New York: Summary level: 160, state:36> place:11847",998
"Camillus village, New York: Summary level: 160, state:36> place:11902",558
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",304
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",830
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",4988
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",284
"Canastota village, New York: Summary level: 160, state:36> place:12188",1963
"Candor village, New York: Summary level: 160, state:36> place:12210",314
"Canisteo village, New York: Summary level: 160, state:36> place:12254",914
"Canton village, New York: Summary level: 160, state:36> place:12331",1694
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",326
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",1889
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",2206
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",235
"Carthage village, New York: Summary level: 160, state:36> place:12683",1612
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",267
"Castile village, New York: Summary level: 160, state:36> place:12771",419
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",520
"Castorland village, New York: Summary level: 160, state:36> place:12881",105
"Cato village, New York: Summary level: 160, state:36> place:12958",212
"Catskill village, New York: Summary level: 160, state:36> place:13002",1308
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",468
"Cayuga village, New York: Summary level: 160, state:36> place:13068",207
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",1476
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",946
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",2133
"Celoron village, New York: Summary level: 160, state:36> place:13288",514
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",10013
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",2772
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",2033
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",174
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",9834
"Central Square village, New York: Summary level: 160, state:36> place:13585",818
"Centre Island village, New York: Summary level: 160, state:36> place:13618",157
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",675
"Champlain village, New York: Summary level: 160, state:36> place:13739",461
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",494
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",306
"Chatham village, New York: Summary level: 160, state:36> place:14003",698
"Chaumont village, New York: Summary level: 160, state:36> place:14036",242
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",173
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",174
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",32762
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",1169
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",199
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",242
"Chester village, New York: Summary level: 160, state:36> place:15297",1699
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",309
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",2498
"Chittenango village, New York: Summary level: 160, state:36> place:15561",1902
"Churchville village, New York: Summary level: 160, state:36> place:15638",825
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",1009
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",752
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",976
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",1587
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",381
"Clayton village, New York: Summary level: 160, state:36> place:16089",804
"Clayville village, New York: Summary level: 160, state:36> place:16111",174
"Cleveland village, New York: Summary level: 160, state:36> place:16188",302
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",813
"Clinton village, New York: Summary level: 160, state:36> place:16419",899
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",524
"Clyde village, New York: Summary level: 160, state:36> place:16573",736
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",1640
"Cohocton village, New York: Summary level: 160, state:36> place:16727",397
"Cohoes city, New York: Summary level: 160, state:36> place:16749",7346
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",141
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",858
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",1707
"Colonie village, New York: Summary level: 160, state:36> place:17332",3219
"Colton CDP, New York: Summary level: 160, state:36> place:17398",195
"Commack CDP, New York: Summary level: 160, state:36> place:17530",11643
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",120
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",1429
"Congers CDP, New York: Summary level: 160, state:36> place:17739",2903
"Constableville village, New York: Summary level: 160, state:36> place:17882",125
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",377
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",247
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",1011
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",281
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",252
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",7448
"Coram CDP, New York: Summary level: 160, state:36> place:18157",14674
"Corfu village, New York: Summary level: 160, state:36> place:18201",314
"Corinth village, New York: Summary level: 160, state:36> place:18212",952
"Corning city, New York: Summary level: 160, state:36> place:18256",5253
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",1194
"Cortland city, New York: Summary level: 160, state:36> place:18388",6592
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",501
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",730
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",84
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",1113
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",223
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",92
"Croghan village, New York: Summary level: 160, state:36> place:19070",270
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",718
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",2884
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",1032
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",810
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",236
"Cuba village, New York: Summary level: 160, state:36> place:19356",684
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",667
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",93
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",1328
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",135
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",141
"Dannemora village, New York: Summary level: 160, state:36> place:19642",409
"Dansville village, New York: Summary level: 160, state:36> place:19664",2113
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",170
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",9422
"Deferiet village, New York: Summary level: 160, state:36> place:19994",110
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",155
"Delanson village, New York: Summary level: 160, state:36> place:20082",141
"Delevan village, New York: Summary level: 160, state:36> place:20115",501
"Delhi village, New York: Summary level: 160, state:36> place:20126",861
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",305
"Depew village, New York: Summary level: 160, state:36> place:20313",6509
"Deposit village, New York: Summary level: 160, state:36> place:20346",800
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",4
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",212
"Dexter village, New York: Summary level: 160, state:36> place:20500",482
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",8227
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",3736
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",884
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",626
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",264
"Dresden village, New York: Summary level: 160, state:36> place:20896",119
"Dryden village, New York: Summary level: 160, state:36> place:20951",828
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",169
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",106
"Dundee village, New York: Summary level: 160, state:36> place:21050",801
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",5608
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",223
"Earlville village, New York: Summary level: 160, state:36> place:21523",358
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",897
"East Aurora village, New York: Summary level: 160, state:36> place:21589",2542
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",165
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",7799
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",2007
"East Garden City CDP, New York: Summary level: 160, state:36> place:22065",1152
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",2593
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",1801
"East Hampton village, New York: Summary level: 160, state:36> place:22183",593
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",1580
"East Hills village, New York: Summary level: 160, state:36> place:22260",2214
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",4510
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",1110
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",82
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",468
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",6418
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",12226
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",1946
"East Nassau village, New York: Summary level: 160, state:36> place:22557",250
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",6968
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",924
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",8270
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",674
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",1805
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",191
"East Rochester village, New York: Summary level: 160, state:36> place:22865",2846
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",3598
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",2036
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",1439
"East Williston village, New York: Summary level: 160, state:36> place:23217",844
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",493
"Eden CDP, New York: Summary level: 160, state:36> place:23404",1298
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",290
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",6283
"Elba village, New York: Summary level: 160, state:36> place:23745",257
"Elbridge village, New York: Summary level: 160, state:36> place:23789",385
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",304
"Ellenville village, New York: Summary level: 160, state:36> place:23965",1478
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",169
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",82
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",1112
"Elmira city, New York: Summary level: 160, state:36> place:24229",11001
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",1782
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",9697
"Elmsford village, New York: Summary level: 160, state:36> place:24295",1546
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",3508
"Endicott village, New York: Summary level: 160, state:36> place:24515",6077
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",5122
"Erin CDP, New York: Summary level: 160, state:36> place:24625",177
"Esperance village, New York: Summary level: 160, state:36> place:24713",149
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",242
"Fabius village, New York: Summary level: 160, state:36> place:24867",147
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",352
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",4136
"Fairport village, New York: Summary level: 160, state:36> place:25076",2327
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",1691
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",884
"Falconer village, New York: Summary level: 160, state:36> place:25164",1102
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",3170
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",4761
"Farnham village, New York: Summary level: 160, state:36> place:25428",129
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",2152
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",97
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",301
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",124
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",1978
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",121
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",35
"Fishkill village, New York: Summary level: 160, state:36> place:25967",997
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",1413
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",126
"Floral Park village, New York: Summary level: 160, state:36> place:26264",5519
"Florida village, New York: Summary level: 160, state:36> place:26319",1114
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",1382
"Fonda village, New York: Summary level: 160, state:36> place:26462",299
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",333
"Forestville village, New York: Summary level: 160, state:36> place:26649",295
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",195
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",554
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",3845
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",1347
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",218
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",477
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",793
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",3335
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",127
"Frankfort village, New York: Summary level: 160, state:36> place:27188",1033
"Franklin village, New York: Summary level: 160, state:36> place:27221",161
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",10010
"Franklinville village, New York: Summary level: 160, state:36> place:27331",741
"Fredonia village, New York: Summary level: 160, state:36> place:27419",3926
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",221
"Freeport village, New York: Summary level: 160, state:36> place:27485",13854
"Freeville village, New York: Summary level: 160, state:36> place:27529",236
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",940
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",406
"Fulton city, New York: Summary level: 160, state:36> place:27815",4652
"Fultonville village, New York: Summary level: 160, state:36> place:27859",259
"Gainesville village, New York: Summary level: 160, state:36> place:27969",103
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",2121
"Galway village, New York: Summary level: 160, state:36> place:28101",90
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",1773
"Garden City village, New York: Summary level: 160, state:36> place:28178",7409
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",2555
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",1313
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",297
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",1614
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",341
"Gates CDP, New York: Summary level: 160, state:36> place:28453",2012
"Geneseo village, New York: Summary level: 160, state:36> place:28618",1808
"Geneva city, New York: Summary level: 160, state:36> place:28640",4736
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",323
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",181
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",150
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",95
"Glasco CDP, New York: Summary level: 160, state:36> place:29014",887
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",149
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",9445
"Glen Head CDP, New York: Summary level: 160, state:36> place:29245",1624
"Glen Park village, New York: Summary level: 160, state:36> place:29322",169
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",6662
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",3898
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",1339
"Gloversville city, New York: Summary level: 160, state:36> place:29443",6379
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",608
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",1174
"Gorham CDP, New York: Summary level: 160, state:36> place:29520",277
"Goshen village, New York: Summary level: 160, state:36> place:29542",2136
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",1631
"Gowanda village, New York: Summary level: 160, state:36> place:29630",1096
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",142
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",1879
"Granville village, New York: Summary level: 160, state:36> place:30026",1031
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",382
"Great Neck village, New York: Summary level: 160, state:36> place:30169",3373
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",941
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",352
"Great Neck Plaza village, New York: Summary level: 160, state:36> place:30213",3383
"Great River CDP, New York: Summary level: 160, state:36> place:30235",519
"Parc CDP, New York: Summary level: 160, state:36> place:56291",4
"Parish village, New York: Summary level: 160, state:36> place:56341",185
"Parishville CDP, New York: Summary level: 160, state:36> place:56363",396
"Patchogue village, New York: Summary level: 160, state:36> place:56660",4633
"Paul Smiths CDP, New York: Summary level: 160, state:36> place:56770",0
"Pavilion CDP, New York: Summary level: 160, state:36> place:56781",179
"Pawling village, New York: Summary level: 160, state:36> place:56814",899
"Peach Lake CDP, New York: Summary level: 160, state:36> place:56869",627
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",5579
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",199
"Peekskill city, New York: Summary level: 160, state:36> place:56979",9273
"Pelham village, New York: Summary level: 160, state:36> place:57001",2216
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",1794
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",2129
"Perry village, New York: Summary level: 160, state:36> place:57243",1377
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",148
"Peru CDP, New York: Summary level: 160, state:36> place:57364",508
"Phelps village, New York: Summary level: 160, state:36> place:57518",962
"Philadelphia village, New York: Summary level: 160, state:36> place:57551",471
"Philmont village, New York: Summary level: 160, state:36> place:57639",576
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",162
"Phoenix village, New York: Summary level: 160, state:36> place:57661",1008
"Piermont village, New York: Summary level: 160, state:36> place:57749",1297
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",77
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",81
"Pike CDP, New York: Summary level: 160, state:36> place:57815",129
"Pine Bush CDP, New York: Summary level: 160, state:36> place:57980",749
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",114
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",551
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",403
"Pittsford village, New York: Summary level: 160, state:36> place:58354",630
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",2814
"Plainview CDP, New York: Summary level: 160, state:36> place:58442",8959
"Plandome village, New York: Summary level: 160, state:36> place:58475",408
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",318
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",291
"Plattekill CDP, New York: Summary level: 160, state:36> place:58541",497
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",8018
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",622
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",412
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",2648
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",32
"Poestenkill CDP, New York: Summary level: 160, state:36> place:58794",396
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",545
"Poland village, New York: Summary level: 160, state:36> place:58937",154
"Pomona village, New York: Summary level: 160, state:36> place:58992",990
"Poquott village, New York: Summary level: 160, state:36> place:59157",354
"Port Byron village, New York: Summary level: 160, state:36> place:59212",491
"Port Chester village, New York: Summary level: 160, state:36> place:59223",9704
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",634
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",1564
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",187
"Port Henry village, New York: Summary level: 160, state:36> place:59333",450
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",3038
"Port Jefferson Station CDP, New York: Summary level: 160, state:36> place:59377",2847
"Port Jervis city, New York: Summary level: 160, state:36> place:59388",3501
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",265
"Portville village, New York: Summary level: 160, state:36> place:59498",430
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",5748
"Port Washington North village, New York: Summary level: 160, state:36> place:59531",1352
"Potsdam village, New York: Summary level: 160, state:36> place:59564",2243
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",90
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",12539
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",311
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",95
"Preston-Potter Hollow CDP, New York: Summary level: 160, state:36> place:59831",153
"Prospect village, New York: Summary level: 160, state:36> place:59883",89
"Pulaski village, New York: Summary level: 160, state:36> place:59960",974
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",283
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",1481
"Quiogue CDP, New York: Summary level: 160, state:36> place:60408",246
"Quogue village, New York: Summary level: 160, state:36> place:60422",359
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",597
"Rapids CDP, New York: Summary level: 160, state:36> place:60609",527
"Ravena village, New York: Summary level: 160, state:36> place:60675",1372
"Randolph CDP, New York: Summary level: 160, state:36> place:60756",534
"Red Creek village, New York: Summary level: 160, state:36> place:60829",216
"Redford CDP, New York: Summary level: 160, state:36> place:60884",143
"Red Hook village, New York: Summary level: 160, state:36> place:60895",904
"Red Oaks Mill CDP, New York: Summary level: 160, state:36> place:60983",1322
"Redwood CDP, New York: Summary level: 160, state:36> place:61016",170
"Remsen village, New York: Summary level: 160, state:36> place:61115",215
"Remsenburg-Speonk CDP, New York: Summary level: 160, state:36> place:61142",876
"Rensselaer city, New York: Summary level: 160, state:36> place:61148",4349
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",142
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",53
