,Total
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",4200
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",32281
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",9174
"Harriman village, New York: Summary level: 160, state:36> place:32325",2926
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",23536
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",6348
"Waterville village, New York: Summary level: 160, state:36> place:78663",1598
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",283
"Black River village, New York: Summary level: 160, state:36> place:06794",1210
"Carthage village, New York: Summary level: 160, state:36> place:12683",3473
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",359
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",664
"Delhi village, New York: Summary level: 160, state:36> place:20126",3178
"Morristown village, New York: Summary level: 160, state:36> place:48571",292
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",2971
"Salem CDP, New York: Summary level: 160, state:36> place:64771",690
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",221
"Wells CDP, New York: Summary level: 160, state:36> place:79048",654
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",66
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",1189
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",495
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",448
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",627
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",403
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",112
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",1984
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",319
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",1114
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",10253
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",6996
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",5858
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",1441
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",30356
"Tivoli village, New York: Summary level: 160, state:36> place:74023",1100
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",2747
"Southport CDP, New York: Summary level: 160, state:36> place:69606",6940
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",6390
"Buchanan village, New York: Summary level: 160, state:36> place:10341",2132
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",19983
"Elmsford village, New York: Summary level: 160, state:36> place:24295",4993
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",7336
"Irvington village, New York: Summary level: 160, state:36> place:37803",6539
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",3595
"Brushton village, New York: Summary level: 160, state:36> place:10286",456
"Burke village, New York: Summary level: 160, state:36> place:11154",225
"Amityville village, New York: Summary level: 160, state:36> place:02044",9452
"Babylon village, New York: Summary level: 160, state:36> place:03408",12089
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",31846
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",23716
"Coram CDP, New York: Summary level: 160, state:36> place:18157",39977
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",13563
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",20136
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",4797
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",4822
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",750
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",8392
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",32028
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",5164
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",11439
"Candor village, New York: Summary level: 160, state:36> place:12210",645
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",1489
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",1813
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",4510
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",6484
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",2671
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",14280
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",19365
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",16707
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",5354
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",6032
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",519
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",395
"Copake Falls CDP, New York: Summary level: 160, state:36> place:18113",303
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",204
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",284
"Pike CDP, New York: Summary level: 160, state:36> place:57815",240
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",748
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",175
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",399
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",2147
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",1906
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",734
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",713
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",590
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",328
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",380
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",1366
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",2916
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",4365
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",523
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",515
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",2756
"Colton CDP, New York: Summary level: 160, state:36> place:17398",400
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",455
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",416
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",2374
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",170
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",145
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",226
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",801
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",337
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",222
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",652
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",472
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",966
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",740
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",671
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",15546
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",716
"Erin CDP, New York: Summary level: 160, state:36> place:24625",396
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",396
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",1530
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",150
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",336
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",65
"Gates CDP, New York: Summary level: 160, state:36> place:28453",5035
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",206
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",949
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",292
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",4873
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",338
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",681
"Bellport village, New York: Summary level: 160, state:36> place:05771",2008
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",8395
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",27273
"Springs CDP, New York: Summary level: 160, state:36> place:70387",6912
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",12340
"Walton village, New York: Summary level: 160, state:36> place:78036",3160
"Albany city, New York: Summary level: 160, state:36> place:01000",97889
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",3411
"New York city, New York: Summary level: 160, state:36> place:51000",8443713
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",1467
"Phelps village, New York: Summary level: 160, state:36> place:57518",1737
"Falconer village, New York: Summary level: 160, state:36> place:25164",2391
"Jamestown city, New York: Summary level: 160, state:36> place:38264",29799
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",2360
"Turin village, New York: Summary level: 160, state:36> place:75682",265
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",17467
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",785
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",1986
"Westbury village, New York: Summary level: 160, state:36> place:79444",15320
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",755
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",1588
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",338
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",818
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",6957
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",591
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",5748
"Phoenix village, New York: Summary level: 160, state:36> place:57661",2440
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",789
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",3093
"Florida village, New York: Summary level: 160, state:36> place:26319",2836
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",3094
"Middletown city, New York: Summary level: 160, state:36> place:47042",27644
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",9185
"Walden village, New York: Summary level: 160, state:36> place:77849",6726
"West Point CDP, New York: Summary level: 160, state:36> place:80747",6670
"Chester village, New York: Summary level: 160, state:36> place:15297",3981
"Fishkill village, New York: Summary level: 160, state:36> place:25967",1957
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",6620
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",1347
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",3556
"Philmont village, New York: Summary level: 160, state:36> place:57639",1165
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",36447
"Rochester city, New York: Summary level: 160, state:36> place:63000",207778
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",12869
"Sidney village, New York: Summary level: 160, state:36> place:67334",4009
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",2174
"Elba village, New York: Summary level: 160, state:36> place:23745",645
"Hudson city, New York: Summary level: 160, state:36> place:35969",6339
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",1359
"Brockport village, New York: Summary level: 160, state:36> place:08466",8350
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",2742
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",1770
"Delevan village, New York: Summary level: 160, state:36> place:20115",1007
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",1947
"Gloversville city, New York: Summary level: 160, state:36> place:29443",14938
"Mayfield village, New York: Summary level: 160, state:36> place:46206",795
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",557
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",3122
"Warwick village, New York: Summary level: 160, state:36> place:78355",6779
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",1262
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",50427
"Scottsville village, New York: Summary level: 160, state:36> place:65959",2014
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",5620
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",8057
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",12081
"Kaser village, New York: Summary level: 160, state:36> place:38934",5179
"Montebello village, New York: Summary level: 160, state:36> place:48090",4616
"New City CDP, New York: Summary level: 160, state:36> place:50100",34652
"Pomona village, New York: Summary level: 160, state:36> place:58992",2955
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",719
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",2581
"Herkimer village, New York: Summary level: 160, state:36> place:34121",6899
"Middleville village, New York: Summary level: 160, state:36> place:47108",570
"Beacon city, New York: Summary level: 160, state:36> place:05100",14279
"Victor village, New York: Summary level: 160, state:36> place:77376",2733
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",647
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",3328
"Union Springs village, New York: Summary level: 160, state:36> place:76155",1170
"Colonie village, New York: Summary level: 160, state:36> place:17332",7793
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",1384
"Clayton village, New York: Summary level: 160, state:36> place:16089",2018
"Deferiet village, New York: Summary level: 160, state:36> place:19994",300
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",382
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",472
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",3442
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",1825
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",1156
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",2050
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",1871
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",2135
"Cambridge village, New York: Summary level: 160, state:36> place:11825",1806
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",7133
"Waterford village, New York: Summary level: 160, state:36> place:78520",2091
"Lake George village, New York: Summary level: 160, state:36> place:40508",1034
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",729
"Malone village, New York: Summary level: 160, state:36> place:44710",5694
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",1690
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1322
"Little Valley village, New York: Summary level: 160, state:36> place:42829",1180
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",5251
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",26819
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",42918
"Brownville village, New York: Summary level: 160, state:36> place:10231",1047
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",10584
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",14067
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",10000
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",2502
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",4787
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",3307
"Stillwater village, New York: Summary level: 160, state:36> place:71322",1954
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",7005
"Great River CDP, New York: Summary level: 160, state:36> place:30235",1373
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",19580
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",27053
"Oakfield village, New York: Summary level: 160, state:36> place:54155",1749
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",7697
"Bronxville village, New York: Summary level: 160, state:36> place:08532",6394
"Centre Island village, New York: Summary level: 160, state:36> place:13618",472
"Chittenango village, New York: Summary level: 160, state:36> place:15561",4920
"Larchmont village, New York: Summary level: 160, state:36> place:41333",6092
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",10894
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",7214
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",1398
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",25134
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",6661
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",18331
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",4322
"Great Neck village, New York: Summary level: 160, state:36> place:30169",10203
"Kings Point village, New York: Summary level: 160, state:36> place:39694",5187
"Peru CDP, New York: Summary level: 160, state:36> place:57364",1512
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",19515
"Watervliet city, New York: Summary level: 160, state:36> place:78674",10120
"East Hills village, New York: Summary level: 160, state:36> place:22260",7113
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",8842
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",3910
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",1183
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",9804
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",17120
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",15726
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",4742
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",949
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",3123
"Margaretville village, New York: Summary level: 160, state:36> place:45557",543
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",6930
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",1607
"Williston Park village, New York: Summary level: 160, state:36> place:82117",7294
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",8603
"New York Mills village, New York: Summary level: 160, state:36> place:51011",3381
"Oriskany village, New York: Summary level: 160, state:36> place:55365",1246
"Rome city, New York: Summary level: 160, state:36> place:63418",32338
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",4133
"Canton village, New York: Summary level: 160, state:36> place:12331",6501
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",3839
"Piermont village, New York: Summary level: 160, state:36> place:57749",2543
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",3111
"Massena village, New York: Summary level: 160, state:36> place:46019",10090
"Potsdam village, New York: Summary level: 160, state:36> place:59564",9281
"Unadilla village, New York: Summary level: 160, state:36> place:76001",1074
"Highland CDP, New York: Summary level: 160, state:36> place:34484",5620
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",2147
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",3565
"New Paltz village, New York: Summary level: 160, state:36> place:50551",7175
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",166
"Deposit village, New York: Summary level: 160, state:36> place:20346",1685
"Corinth village, New York: Summary level: 160, state:36> place:18212",2515
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",1539
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",4611
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",4103
"White Plains city, New York: Summary level: 160, state:36> place:81677",58040
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",1863
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",260
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",6371
"Scotia village, New York: Summary level: 160, state:36> place:65893",7715
"Northville village, New York: Summary level: 160, state:36> place:53770",1212
"Cleveland village, New York: Summary level: 160, state:36> place:16188",679
"Mexico village, New York: Summary level: 160, state:36> place:46811",1569
"Monticello village, New York: Summary level: 160, state:36> place:48175",6476
"Goshen village, New York: Summary level: 160, state:36> place:29542",5354
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",3827
"Maybrook village, New York: Summary level: 160, state:36> place:46162",3368
"Lacona village, New York: Summary level: 160, state:36> place:40200",741
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",1047
"Liberty village, New York: Summary level: 160, state:36> place:42224",4136
"Monroe village, New York: Summary level: 160, state:36> place:47988",8578
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",615
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",1104
"Montgomery village, New York: Summary level: 160, state:36> place:48142",4537
"Newburgh city, New York: Summary level: 160, state:36> place:50034",28282
"Unionville village, New York: Summary level: 160, state:36> place:76210",724
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",2337
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",1310
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",249
"Athens village, New York: Summary level: 160, state:36> place:02902",1559
"Accord CDP, New York: Summary level: 160, state:36> place:00155",521
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",1004
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",1463
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",27772
"Owego village, New York: Summary level: 160, state:36> place:55882",3827
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",343
"Lake Success village, New York: Summary level: 160, state:36> place:40937",3102
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",294
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",937
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",199
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",660
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",171
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",454
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",182
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",410
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",1078
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",452
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",305
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",147
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",1132
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",596
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",699
"Scio CDP, New York: Summary level: 160, state:36> place:65761",595
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",462
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",99
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",365
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",239
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",1785
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",414
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",8938
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",681
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",635
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",3746
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",64
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",215
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",562
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",69
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",6173
"Verona CDP, New York: Summary level: 160, state:36> place:77167",952
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",341
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",2904
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",1603
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",34
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",489
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",787
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",521
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",373
"Busti CDP, New York: Summary level: 160, state:36> place:11440",334
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",29
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",236
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",507
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",614
"Tuckahoe CDP, New York: Summary level: 160, state:36> place:75572",984
"Millport village, New York: Summary level: 160, state:36> place:47427",443
"Richville village, New York: Summary level: 160, state:36> place:61621",282
"Red Creek village, New York: Summary level: 160, state:36> place:60829",684
"Wolcott village, New York: Summary level: 160, state:36> place:82678",1694
"Wappingers Falls village, New York: Summary level: 160, state:36> place:78168",5663
"Alexander village, New York: Summary level: 160, state:36> place:01154",589
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",4806
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",4921
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",1459
"Frankfort village, New York: Summary level: 160, state:36> place:27188",2376
"Ilion village, New York: Summary level: 160, state:36> place:37275",7852
"Kensington village, New York: Summary level: 160, state:36> place:39309",1184
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",48661
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",30596
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",1601
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",366
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",1090
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",2244
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",10348
"Manchester village, New York: Summary level: 160, state:36> place:44853",1786
"Cato village, New York: Summary level: 160, state:36> place:12958",665
"Moravia village, New York: Summary level: 160, state:36> place:48296",1340
"East Williston village, New York: Summary level: 160, state:36> place:23217",2576
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",4795
"Chaumont village, New York: Summary level: 160, state:36> place:14036",827
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",13109
"Mannsville village, New York: Summary level: 160, state:36> place:45073",351
"Nelliston village, New York: Summary level: 160, state:36> place:49748",565
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",5178
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",15113
"Wyoming village, New York: Summary level: 160, state:36> place:83371",383
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",1945
"Hammond village, New York: Summary level: 160, state:36> place:31830",242
"Harrisville village, New York: Summary level: 160, state:36> place:32424",613
"Clinton village, New York: Summary level: 160, state:36> place:16419",1636
"Alden village, New York: Summary level: 160, state:36> place:01088",2580
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",893
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",1045
"Churchville village, New York: Summary level: 160, state:36> place:15638",2230
"West Nyack CDP, New York: Summary level: 160, state:36> place:80599",3876
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",344
"Chatham village, New York: Summary level: 160, state:36> place:14003",1655
"Spencerport village, New York: Summary level: 160, state:36> place:70189",3620
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",16007
"Wading River CDP, New York: Summary level: 160, state:36> place:77772",8034
"Argyle village, New York: Summary level: 160, state:36> place:02550",555
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",603
"Allegany village, New York: Summary level: 160, state:36> place:01286",1922
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",2184
"Franklinville village, New York: Summary level: 160, state:36> place:27331",1575
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",831
"North Collins village, New York: Summary level: 160, state:36> place:51792",1226
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",1971
"Malverne Park Oaks CDP, New York: Summary level: 160, state:36> place:44792",458
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",31185
"Adams village, New York: Summary level: 160, state:36> place:00199",1661
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",241
"Philadelphia village, New York: Summary level: 160, state:36> place:57551",1115
"Hobart village, New York: Summary level: 160, state:36> place:34979",453
"Theresa village, New York: Summary level: 160, state:36> place:73517",679
"Watertown city, New York: Summary level: 160, state:36> place:78608",26057
"Morris village, New York: Summary level: 160, state:36> place:48483",537
"Otego village, New York: Summary level: 160, state:36> place:55618",917
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",1393
"Hampton Manor CDP, New York: Summary level: 160, state:36> place:31918",2235
"Poestenkill CDP, New York: Summary level: 160, state:36> place:58794",893
"Windham CDP, New York: Summary level: 160, state:36> place:82469",287
"Wilson village, New York: Summary level: 160, state:36> place:82359",1099
