,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",682,66,28,132,27,104,77,98,61,100,76,182,178
"Lodi village, New York: Summary level: 160, state:36> place:43214",153,8,7,14,7,29,21,29,20,29,23,44,44
"Waterloo village, New York: Summary level: 160, state:36> place:78553",1991,104,88,256,134,211,120,303,280,386,330,731,714
"Alfred village, New York: Summary level: 160, state:36> place:01198",382,107,98,49,42,38,31,39,39,45,45,104,88
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",207,20,12,17,6,45,30,44,34,24,24,57,47
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",282,10,3,15,3,50,50,49,42,45,42,113,107
"Hamilton village, New York: Summary level: 160, state:36> place:31709",823,108,30,119,43,62,34,77,56,92,92,365,340
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",1838,65,43,75,67,131,85,175,175,246,246,1146,1016
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",4599,65,36,116,46,424,341,365,259,500,360,3129,3025
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",73,0,0,2,2,11,0,4,4,22,20,34,34
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",3336,86,86,147,131,172,121,281,254,306,299,2344,2208
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",1010,0,0,103,72,100,68,94,81,200,152,513,488
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",8854,309,158,278,255,483,380,524,416,1324,1188,5936,5788
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",778,7,3,15,7,45,31,48,37,77,66,586,554
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",244,19,0,30,14,52,29,51,43,43,43,49,46
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",420,0,0,19,10,19,19,12,12,15,15,355,355
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",409,4,4,2,2,25,12,13,13,36,26,329,310
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",2083,92,18,107,86,96,96,135,135,225,216,1428,1398
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",158,0,0,10,10,0,0,17,17,0,0,131,131
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",6216,171,94,142,90,288,233,263,195,621,572,4731,4524
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",5845,50,20,213,75,197,140,285,228,559,551,4541,4391
"Boonville village, New York: Summary level: 160, state:36> place:07355",833,75,37,146,97,163,119,142,132,111,85,196,185
"Camden village, New York: Summary level: 160, state:36> place:11847",1110,101,64,211,98,140,49,238,215,137,103,283,269
"Utica city, New York: Summary level: 160, state:36> place:76540",23520,2684,1419,4506,2383,4433,2923,3261,2509,3924,3262,4712,4209
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",1348,91,60,216,77,293,213,214,107,192,172,342,312
"Elbridge village, New York: Summary level: 160, state:36> place:23789",398,12,3,24,9,52,23,67,45,58,50,185,166
"Akron village, New York: Summary level: 160, state:36> place:00441",1228,26,17,165,93,192,77,163,133,351,317,331,288
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",704,14,14,113,16,72,45,30,30,114,70,361,306
"Depew village, New York: Summary level: 160, state:36> place:20313",6669,181,60,581,364,1093,597,1030,808,1437,1273,2347,2212
"East Aurora village, New York: Summary level: 160, state:36> place:21589",2576,95,74,201,178,314,274,237,173,547,511,1182,1118
"Eden CDP, New York: Summary level: 160, state:36> place:23404",1280,63,43,132,55,55,17,132,112,249,188,649,596
"Naples village, New York: Summary level: 160, state:36> place:49429",438,38,25,57,31,84,68,93,83,63,54,103,103
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",537,59,51,33,33,48,29,18,11,112,80,267,225
"Woodridge village, New York: Summary level: 160, state:36> place:82953",301,31,16,56,38,53,34,35,25,58,53,68,68
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",2373,79,79,45,31,233,151,251,241,455,410,1310,1204
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",301,13,5,46,21,38,15,35,31,65,61,104,100
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",530,36,36,21,21,52,52,14,9,26,26,381,362
"Batavia city, New York: Summary level: 160, state:36> place:04715",6129,560,300,845,454,894,434,890,717,1142,963,1798,1730
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",2860,99,39,92,69,190,105,113,93,314,230,2052,2006
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",1577,55,46,21,12,106,72,91,91,231,210,1073,1033
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",1468,128,60,252,90,296,148,221,191,178,138,393,371
"Esperance village, New York: Summary level: 160, state:36> place:24713",148,13,7,12,5,17,15,21,21,39,34,46,46
"Schoharie village, New York: Summary level: 160, state:36> place:65585",354,23,6,44,26,54,47,48,42,68,57,117,115
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",613,11,11,112,60,101,76,99,73,123,101,167,159
"New Berlin village, New York: Summary level: 160, state:36> place:49946",398,27,5,49,10,71,35,55,37,124,124,72,72
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",477,62,57,39,21,117,108,113,95,77,57,69,63
"Greene village, New York: Summary level: 160, state:36> place:30411",775,33,16,109,61,116,75,111,103,198,187,208,203
"Munnsville village, New York: Summary level: 160, state:36> place:49220",168,27,27,6,6,32,21,23,23,31,23,49,45
"Wampsville village, New York: Summary level: 160, state:36> place:78113",197,29,21,19,10,11,2,37,23,33,29,68,68
"Brookville village, New York: Summary level: 160, state:36> place:10132",829,9,9,0,0,19,14,51,51,30,26,720,693
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",984,44,38,45,22,31,14,64,56,54,43,746,720
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",9580,188,119,396,213,758,425,592,417,1298,1169,6348,6052
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",145,0,0,0,0,7,7,0,0,0,0,138,110
"Hempstead village, New York: Summary level: 160, state:36> place:33139",15703,1230,741,1309,600,2192,1297,1666,1253,2614,2139,6692,6257
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",1299,44,44,11,0,76,53,74,50,73,64,1021,972
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",2407,19,0,94,65,196,151,130,121,306,239,1662,1512
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",1490,39,39,24,18,72,41,87,77,126,104,1142,1079
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",1116,5,5,25,0,83,64,24,24,124,124,855,855
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",6469,214,197,115,33,458,361,305,289,546,478,4831,4698
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",6189,154,106,228,139,453,274,331,230,532,435,4491,4343
"Antwerp village, New York: Summary level: 160, state:36> place:02286",221,13,13,33,13,22,17,59,44,46,41,48,47
"Southampton village, New York: Summary level: 160, state:36> place:68462",1352,53,18,59,20,130,78,112,55,225,175,773,611
"Olean city, New York: Summary level: 160, state:36> place:54716",6158,520,130,991,460,1153,776,752,680,1032,825,1710,1582
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",573,13,13,113,9,99,52,142,109,39,39,167,156
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",614,16,10,46,17,108,76,78,72,138,118,228,224
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",6466,390,267,848,436,1256,901,810,657,1264,1167,1898,1816
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",446,20,20,0,0,87,87,11,11,30,12,298,228
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",6770,431,239,423,186,629,389,314,268,847,787,4126,3851
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",4079,173,139,223,128,382,259,288,271,799,733,2214,1942
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",4347,126,126,186,150,367,337,201,199,865,756,2602,2234
"North Haven village, New York: Summary level: 160, state:36> place:52188",383,4,2,7,5,28,20,26,19,25,22,293,243
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",3030,57,49,124,62,227,173,187,145,474,386,1961,1817
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",512,47,0,171,81,0,0,86,64,65,65,143,143
"Selden CDP, New York: Summary level: 160, state:36> place:66212",6214,242,168,320,194,498,305,594,426,761,706,3799,3500
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",8888,200,171,378,194,637,417,614,473,797,673,6262,6008
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",2737,47,47,83,25,224,124,333,293,354,337,1696,1566
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",983,41,41,24,20,66,55,68,56,88,63,696,634
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",721,33,12,32,29,76,52,49,40,104,93,427,388
"Salamanca city, New York: Summary level: 160, state:36> place:64749",2170,237,120,478,195,488,302,329,251,325,263,313,269
"Poquott village, New York: Summary level: 160, state:36> place:59157",346,6,6,2,2,19,17,10,8,22,20,287,274
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",4491,95,26,168,120,474,311,301,273,719,643,2734,2628
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",450,0,0,0,0,47,0,13,13,14,14,376,272
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",4487,218,198,192,131,169,119,281,265,320,256,3307,3180
"Jordan village, New York: Summary level: 160, state:36> place:38825",572,18,10,106,47,77,55,83,62,111,96,177,171
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",1707,117,42,172,124,319,195,257,213,426,395,416,354
"Manlius village, New York: Summary level: 160, state:36> place:45018",1985,155,72,116,58,248,183,246,214,307,246,913,875
"Minoa village, New York: Summary level: 160, state:36> place:47757",1370,22,11,36,36,273,84,196,170,446,404,397,397
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",945,68,36,75,50,140,93,208,154,200,177,254,220
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",932,30,0,49,49,132,69,177,116,299,206,245,233
"Castile village, New York: Summary level: 160, state:36> place:12771",407,20,14,73,41,76,45,40,40,85,75,113,102
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",259,5,5,21,14,24,21,66,57,61,49,82,79
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",377,0,0,19,19,53,10,83,46,73,73,149,149
"Delanson village, New York: Summary level: 160, state:36> place:20082",106,5,1,4,0,9,7,3,2,29,24,56,56
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",7210,254,132,594,375,979,641,903,677,1471,1250,3009,2878
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",1660,103,90,212,151,325,93,194,176,266,266,560,560
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",617,8,1,55,30,113,76,88,70,91,63,262,253
"East Rochester village, New York: Summary level: 160, state:36> place:22865",2834,128,91,268,120,540,294,525,373,678,601,695,631
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",582,32,10,77,29,122,83,86,76,164,159,101,95
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",201,0,0,12,4,12,6,38,21,32,32,107,107
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",966,19,19,53,45,65,65,27,27,66,54,736,719
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",2798,70,62,35,12,169,140,161,146,271,255,2092,2043
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",140,0,0,0,0,0,0,54,54,72,63,14,14
"Hillburn village, New York: Summary level: 160, state:36> place:34660",295,13,5,24,24,20,17,33,30,75,72,130,116
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",3452,17,17,167,90,146,131,386,367,424,385,2312,2134
"West Winfield village, New York: Summary level: 160, state:36> place:81292",353,18,2,40,22,53,28,43,43,74,72,125,116
"Red Hook village, New York: Summary level: 160, state:36> place:60895",830,69,63,84,68,165,124,60,48,114,114,338,320
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",1514,27,27,15,3,70,45,65,65,187,173,1150,1108
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",625,72,72,0,0,103,67,147,147,81,81,222,222
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",582,53,0,32,0,15,15,152,127,99,99,231,222
"Homer village, New York: Summary level: 160, state:36> place:35276",1330,36,30,90,27,218,152,277,226,219,181,490,428
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",936,20,10,126,38,126,95,162,162,218,182,284,284
"Auburn city, New York: Summary level: 160, state:36> place:03078",11607,1038,525,1754,955,1996,1289,1795,1456,2180,1821,2844,2611
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",123,45,25,12,0,20,0,0,0,8,8,38,38
"Ovid village, New York: Summary level: 160, state:36> place:55816",217,11,10,28,22,41,19,22,15,52,42,63,61
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",178,8,5,11,7,26,15,18,10,23,19,92,81
"Solvay village, New York: Summary level: 160, state:36> place:68286",2802,200,85,305,145,539,328,391,319,595,480,772,733
"Ossining village, New York: Summary level: 160, state:36> place:55530",8418,478,282,630,288,756,528,1165,861,1457,1198,3932,3639
"Sands Point village, New York: Summary level: 160, state:36> place:65035",947,17,13,11,11,20,20,15,15,48,48,836,826
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",276,24,17,21,12,47,22,49,35,43,41,92,88
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",1753,92,30,180,51,175,106,200,74,173,92,933,681
"Waverly village, New York: Summary level: 160, state:36> place:78806",1702,81,23,384,206,379,290,159,120,192,174,507,447
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",1735,118,73,145,68,245,196,238,199,369,317,620,584
"Greenport village, New York: Summary level: 160, state:36> place:30576",838,71,58,45,22,190,140,112,100,129,119,291,267
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",518,4,4,11,8,15,6,12,12,35,26,441,432
"Windsor village, New York: Summary level: 160, state:36> place:82524",400,14,9,44,30,53,40,43,33,87,78,159,142
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",118,10,0,0,0,0,0,17,17,0,0,91,91
"Leicester village, New York: Summary level: 160, state:36> place:41872",210,1,1,17,15,42,22,18,17,45,44,87,85
"Barker village, New York: Summary level: 160, state:36> place:04440",215,7,4,19,16,55,39,40,40,41,38,53,44
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",424,29,0,62,42,93,44,94,83,66,66,80,72
"Stamford village, New York: Summary level: 160, state:36> place:70618",579,40,5,119,69,104,73,90,55,84,58,142,125
"Saltaire village, New York: Summary level: 160, state:36> place:64881",4,0,0,0,0,2,2,0,0,0,0,2,2
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",76,3,3,8,5,13,9,4,4,7,7,41,38
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",882,53,35,62,23,113,73,78,68,176,155,400,391
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",2310,297,187,223,96,261,149,429,351,393,333,707,683
"Floral Park village, New York: Summary level: 160, state:36> place:26264",5706,135,64,216,103,311,205,398,294,781,626,3865,3736
"Freeport village, New York: Summary level: 160, state:36> place:27485",14021,743,419,1272,644,1739,1392,1233,1035,1924,1711,7110,6849
"Garden City village, New York: Summary level: 160, state:36> place:28178",7365,122,73,193,76,444,403,215,186,514,406,5877,5623
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",1827,77,63,108,47,187,76,150,132,338,308,967,876
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",449,7,7,17,0,44,14,72,64,61,50,248,235
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",3721,205,140,352,244,477,295,520,414,503,396,1664,1502
"Tannersville village, New York: Summary level: 160, state:36> place:73143",346,0,0,75,44,28,23,44,27,77,44,122,122
"Painted Post village, New York: Summary level: 160, state:36> place:56088",788,45,31,81,31,138,83,106,82,159,137,259,243
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",564,0,0,77,32,76,62,168,121,77,62,166,138
"Lockport city, New York: Summary level: 160, state:36> place:43082",8879,717,377,1256,692,1392,884,1584,1181,1493,1275,2437,2236
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",1698,60,38,25,8,91,32,15,7,78,70,1429,1354
"Port Chester village, New York: Summary level: 160, state:36> place:59223",9129,381,235,660,407,1264,929,953,686,1701,1500,4170,4021
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",5590,71,71,108,99,145,137,146,132,151,143,4969,4875
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",997,0,0,18,0,129,87,53,14,130,112,667,654
"Yonkers city, New York: Summary level: 160, state:36> place:84000",74848,6262,3242,7119,4052,10018,6758,7999,5523,11576,9695,31874,29651
"Round Lake village, New York: Summary level: 160, state:36> place:63957",332,12,10,12,10,13,10,18,13,52,46,225,207
"Franklin village, New York: Summary level: 160, state:36> place:27221",165,2,2,20,16,26,19,39,39,38,33,40,33
"Hancock village, New York: Summary level: 160, state:36> place:31940",531,43,8,156,75,145,102,66,49,75,64,46,39
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",1983,63,63,34,0,299,187,187,140,331,253,1069,1050
"Attica village, New York: Summary level: 160, state:36> place:03001",1239,57,44,101,54,167,105,162,126,286,233,466,453
"Gainesville village, New York: Summary level: 160, state:36> place:27969",101,12,4,3,1,24,10,13,9,27,25,22,17
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",7238,819,450,1208,569,1470,905,995,768,1320,1081,1426,1258
"Airmont village, New York: Summary level: 160, state:36> place:00408",2473,92,55,101,66,296,278,158,115,373,244,1453,1391
"Congers CDP, New York: Summary level: 160, state:36> place:17739",2752,44,19,74,46,115,82,207,190,302,246,2010,1904
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",3989,192,73,934,115,781,185,332,93,598,193,1152,551
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",176,6,6,31,9,47,27,23,16,21,11,48,46
"Springville village, New York: Summary level: 160, state:36> place:70442",1850,120,49,228,168,269,215,262,218,350,310,621,556
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",6981,509,346,845,458,1259,806,896,670,1310,1208,2162,2012
"Canastota village, New York: Summary level: 160, state:36> place:12188",1762,111,49,188,105,176,137,263,202,382,382,642,599
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",25793,1331,733,2361,1213,3938,2723,3607,2704,5167,4591,9389,9148
"Madison village, New York: Summary level: 160, state:36> place:44424",158,4,2,18,9,17,7,29,21,38,24,52,51
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",1000,0,0,59,39,108,91,64,64,138,138,631,631
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",290,62,12,9,5,67,32,21,11,58,41,73,62
"Mayville village, New York: Summary level: 160, state:36> place:46239",524,39,7,63,40,101,75,51,38,99,96,171,160
"Webster village, New York: Summary level: 160, state:36> place:78960",2426,207,138,256,136,389,280,418,250,414,349,742,729
"Nichols village, New York: Summary level: 160, state:36> place:51110",202,2,0,43,39,15,9,18,14,39,28,85,85
"Dexter village, New York: Summary level: 160, state:36> place:20500",408,55,24,76,55,60,43,37,34,79,79,101,83
"Nassau village, New York: Summary level: 160, state:36> place:49506",442,9,5,37,31,45,34,49,44,93,89,209,199
"Troy city, New York: Summary level: 160, state:36> place:75484",19954,1956,1274,3022,1700,3781,2836,2620,2301,3295,2920,5280,4950
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",9792,601,336,804,510,1187,905,898,731,1313,1118,4989,4683
"Johnson City village, New York: Summary level: 160, state:36> place:38748",6288,506,315,927,520,1249,835,1086,814,1026,876,1494,1407
"Le Roy village, New York: Summary level: 160, state:36> place:42026",1782,77,56,220,90,348,189,227,199,348,286,562,532
"Lisle village, New York: Summary level: 160, state:36> place:42642",96,5,2,7,6,17,13,12,6,35,22,20,15
"Mohawk village, New York: Summary level: 160, state:36> place:47823",1034,70,23,179,75,153,90,149,130,285,243,198,178
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",770,52,45,52,30,88,75,137,114,175,166,266,236
"Millbrook village, New York: Summary level: 160, state:36> place:47273",676,33,24,82,25,83,70,48,35,84,73,346,309
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",1254,54,17,139,92,209,191,206,145,179,179,467,454
"Greece CDP, New York: Summary level: 160, state:36> place:30279",6305,264,147,544,213,971,677,884,653,1420,1221,2222,2067
"Nyack village, New York: Summary level: 160, state:36> place:54100",3300,79,41,192,103,591,147,386,243,523,523,1529,1521
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",5735,128,40,245,165,304,197,432,346,642,585,3984,3687
"Suffern village, New York: Summary level: 160, state:36> place:71894",4364,218,127,251,157,345,238,445,308,700,619,2405,2211
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",369,23,8,47,17,89,65,49,33,92,61,69,61
"Palmyra village, New York: Summary level: 160, state:36> place:56187",1471,134,68,151,65,264,124,195,140,249,219,478,414
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",1811,137,80,261,130,288,160,338,285,324,249,463,420
"Horseheads village, New York: Summary level: 160, state:36> place:35694",2998,155,69,262,73,671,380,488,340,604,519,818,773
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",165,9,9,24,23,32,21,13,11,31,21,56,56
"Caledonia village, New York: Summary level: 160, state:36> place:11704",935,24,5,116,45,140,74,126,116,214,194,315,305
"Lima village, New York: Summary level: 160, state:36> place:42323",911,34,5,106,62,118,67,125,89,179,157,349,334
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",662,59,59,80,80,41,13,32,0,199,166,251,251
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",1389,26,18,15,10,78,69,118,95,190,161,962,948
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",251,0,0,16,0,74,56,31,31,14,14,116,116
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",375,0,0,41,15,32,23,35,30,89,73,178,172
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",132,5,5,1,1,4,4,6,6,8,6,108,102
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",6382,114,73,363,174,537,385,687,492,635,537,4046,3758
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",1406,78,39,111,29,214,66,111,111,163,146,729,717
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",9373,955,508,1299,648,1457,931,1464,1000,1466,968,2732,2212
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",3313,158,44,143,85,450,345,335,258,626,431,1601,1288
"Harriman village, New York: Summary level: 160, state:36> place:32325",1065,47,27,35,16,138,104,127,102,240,220,478,427
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",4089,251,16,951,73,1003,143,469,94,597,69,818,226
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",2314,11,0,125,60,278,208,118,107,340,278,1442,1330
"Waterville village, New York: Summary level: 160, state:36> place:78663",633,42,23,74,24,69,47,93,58,125,114,230,222
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",144,10,0,5,4,20,13,49,37,12,10,48,48
"Black River village, New York: Summary level: 160, state:36> place:06794",513,23,16,63,44,56,47,56,43,88,80,227,222
"Carthage village, New York: Summary level: 160, state:36> place:12683",1245,95,95,187,147,144,110,276,266,316,307,227,227
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",153,0,0,0,0,28,19,5,0,16,16,104,83
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",269,70,70,48,48,28,0,9,9,29,21,85,85
"Delhi village, New York: Summary level: 160, state:36> place:20126",779,93,65,174,114,99,54,79,55,127,110,207,195
"Morristown village, New York: Summary level: 160, state:36> place:48571",128,6,4,14,6,13,6,16,16,32,29,47,43
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",1202,63,32,162,81,232,153,195,172,263,243,287,270
"Salem CDP, New York: Summary level: 160, state:36> place:64771",298,5,5,48,18,46,12,42,29,73,70,84,76
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",97,0,0,19,8,0,0,0,0,7,7,71,64
"Wells CDP, New York: Summary level: 160, state:36> place:79048",116,4,4,18,18,32,13,12,12,26,24,24,24
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",38,0,0,0,0,0,0,0,0,17,17,21,21
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",493,38,23,74,19,89,73,69,40,137,119,86,82
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",148,0,0,0,0,28,21,35,29,23,18,62,49
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",162,0,0,32,24,24,15,28,22,42,36,36,31
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",253,18,18,29,8,16,8,29,29,35,25,126,118
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",194,17,10,43,14,37,22,46,41,27,27,24,22
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",47,0,0,2,0,10,8,2,2,11,11,22,22
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",855,53,15,83,33,150,60,86,83,184,139,299,273
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",150,7,7,13,5,30,26,23,18,27,26,50,50
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",536,18,3,144,59,80,37,72,56,54,46,168,158
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",3071,80,62,232,178,428,343,372,308,628,538,1331,1296
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",2359,38,38,89,43,180,129,151,151,469,385,1432,1395
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",1508,76,71,34,34,50,23,73,73,167,167,1108,1100
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",660,54,54,101,30,148,89,64,56,162,132,131,131
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",12627,991,510,1858,868,2307,1587,2069,1628,2020,1760,3382,3040
"Tivoli village, New York: Summary level: 160, state:36> place:74023",486,53,31,59,42,84,64,70,65,58,51,162,137
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",1053,91,91,14,14,49,34,63,63,344,327,492,478
"Southport CDP, New York: Summary level: 160, state:36> place:69606",3236,238,155,340,179,650,530,393,335,815,697,800,732
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",1994,62,35,112,93,92,63,160,130,322,289,1246,1160
"Buchanan village, New York: Summary level: 160, state:36> place:10341",727,11,11,23,17,70,48,34,30,85,53,504,469
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",7817,235,144,250,146,616,359,498,415,978,874,5240,4917
"Elmsford village, New York: Summary level: 160, state:36> place:24295",1558,25,8,98,74,57,48,168,158,300,273,910,904
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",2282,73,26,19,19,38,38,79,79,95,87,1978,1969
"Irvington village, New York: Summary level: 160, state:36> place:37803",2413,142,125,172,99,62,45,205,170,216,181,1616,1616
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",1685,112,47,298,175,318,158,177,160,396,315,384,353
"Brushton village, New York: Summary level: 160, state:36> place:10286",195,25,8,15,0,44,12,14,3,46,40,51,37
"Burke village, New York: Summary level: 160, state:36> place:11154",92,8,3,17,8,4,1,4,2,28,28,31,31
