,Total,Owner occupied,Renter occupied
"Port Chester village, New York: Summary level: 160, state:36> place:59223",9129,3945,5184
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",5590,5066,524
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",997,642,355
"Yonkers city, New York: Summary level: 160, state:36> place:84000",74848,34791,40057
"Round Lake village, New York: Summary level: 160, state:36> place:63957",332,273,59
"Franklin village, New York: Summary level: 160, state:36> place:27221",165,96,69
"Hancock village, New York: Summary level: 160, state:36> place:31940",531,320,211
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",1983,1852,131
"Attica village, New York: Summary level: 160, state:36> place:03001",1239,787,452
"Gainesville village, New York: Summary level: 160, state:36> place:27969",101,69,32
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",7238,3587,3651
"Airmont village, New York: Summary level: 160, state:36> place:00408",2473,1775,698
"Congers CDP, New York: Summary level: 160, state:36> place:17739",2752,2383,369
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",3989,1538,2451
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",176,121,55
"Springville village, New York: Summary level: 160, state:36> place:70442",1850,1019,831
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",6981,4864,2117
"Canastota village, New York: Summary level: 160, state:36> place:12188",1762,948,814
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",25793,19141,6652
"Madison village, New York: Summary level: 160, state:36> place:44424",158,112,46
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",1000,906,94
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",290,71,219
"Mayville village, New York: Summary level: 160, state:36> place:46239",524,348,176
"Webster village, New York: Summary level: 160, state:36> place:78960",2426,993,1433
"Nichols village, New York: Summary level: 160, state:36> place:51110",202,147,55
"Dexter village, New York: Summary level: 160, state:36> place:20500",408,227,181
"Nassau village, New York: Summary level: 160, state:36> place:49506",442,299,143
"Troy city, New York: Summary level: 160, state:36> place:75484",19954,7300,12654
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",9792,4974,4818
"Johnson City village, New York: Summary level: 160, state:36> place:38748",6288,3371,2917
"Le Roy village, New York: Summary level: 160, state:36> place:42026",1782,1058,724
"Lisle village, New York: Summary level: 160, state:36> place:42642",96,61,35
"Mohawk village, New York: Summary level: 160, state:36> place:47823",1034,560,474
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",770,521,249
"Millbrook village, New York: Summary level: 160, state:36> place:47273",676,357,319
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",1254,653,601
"Greece CDP, New York: Summary level: 160, state:36> place:30279",6305,4436,1869
"Nyack village, New York: Summary level: 160, state:36> place:54100",3300,905,2395
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",5735,4669,1066
"Suffern village, New York: Summary level: 160, state:36> place:71894",4364,3071,1293
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",369,246,123
"Palmyra village, New York: Summary level: 160, state:36> place:56187",1471,733,738
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",1811,855,956
"Horseheads village, New York: Summary level: 160, state:36> place:35694",2998,1735,1263
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",165,140,25
"Caledonia village, New York: Summary level: 160, state:36> place:11704",935,664,271
"Lima village, New York: Summary level: 160, state:36> place:42323",911,614,297
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",662,247,415
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",1389,1304,85
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",251,229,22
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",375,307,68
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",132,109,23
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",6382,4592,1790
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",1406,991,415
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",9373,2656,6717
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",3313,2008,1305
"Harriman village, New York: Summary level: 160, state:36> place:32325",1065,468,597
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",4089,1115,2974
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",2314,1829,485
"Waterville village, New York: Summary level: 160, state:36> place:78663",633,389,244
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",144,105,39
"Black River village, New York: Summary level: 160, state:36> place:06794",513,285,228
"Carthage village, New York: Summary level: 160, state:36> place:12683",1245,511,734
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",153,134,19
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",269,196,73
"Delhi village, New York: Summary level: 160, state:36> place:20126",779,410,369
"Morristown village, New York: Summary level: 160, state:36> place:48571",128,108,20
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",1202,773,429
"Salem CDP, New York: Summary level: 160, state:36> place:64771",298,227,71
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",97,69,28
"Wells CDP, New York: Summary level: 160, state:36> place:79048",116,104,12
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",38,38,0
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",493,288,205
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",148,128,20
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",162,108,54
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",253,253,0
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",194,113,81
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",47,40,7
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",855,616,239
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",150,89,61
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",536,391,145
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",3071,1845,1226
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",2359,2222,137
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",1508,1448,60
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",660,353,307
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",12627,4253,8374
"Tivoli village, New York: Summary level: 160, state:36> place:74023",486,249,237
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",1053,764,289
"Southport CDP, New York: Summary level: 160, state:36> place:69606",3236,2193,1043
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",1994,1644,350
"Buchanan village, New York: Summary level: 160, state:36> place:10341",727,558,169
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",7817,6207,1610
"Elmsford village, New York: Summary level: 160, state:36> place:24295",1558,731,827
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",2282,2155,127
"Irvington village, New York: Summary level: 160, state:36> place:37803",2413,1930,483
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",1685,796,889
"Brushton village, New York: Summary level: 160, state:36> place:10286",195,118,77
"Burke village, New York: Summary level: 160, state:36> place:11154",92,64,28
"Amityville village, New York: Summary level: 160, state:36> place:02044",3421,2425,996
"Babylon village, New York: Summary level: 160, state:36> place:03408",4324,3332,992
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",9183,6037,3146
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",7016,5614,1402
"Coram CDP, New York: Summary level: 160, state:36> place:18157",14685,10011,4674
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",4323,3782,541
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",6983,5949,1034
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",1895,1677,218
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",2408,1790,618
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",358,304,54
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",3205,2342,863
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",9682,8029,1653
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",1714,1447,267
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",3566,3332,234
"Candor village, New York: Summary level: 160, state:36> place:12210",274,229,45
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",789,145,644
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",696,637,59
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",1618,1384,234
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",1984,1853,131
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",998,963,35
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",5502,3817,1685
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",6554,5349,1205
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",6071,4877,1194
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",1295,1167,128
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",2664,1762,902
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",189,90,99
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",133,94,39
"Copake Falls CDP, New York: Summary level: 160, state:36> place:18113",155,47,108
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",52,24,28
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",131,106,25
"Pike CDP, New York: Summary level: 160, state:36> place:57815",110,100,10
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",306,283,23
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",43,43,0
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",210,161,49
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",0,0,0
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",759,719,40
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",308,170,138
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",305,235,70
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",268,237,31
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",108,88,20
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",68,68,0
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",582,322,260
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",1097,1010,87
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",1740,1357,383
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",191,146,45
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",263,109,154
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",1054,720,334
"Colton CDP, New York: Summary level: 160, state:36> place:17398",157,132,25
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",159,116,43
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",204,204,0
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",1232,1039,193
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",83,75,8
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",107,67,40
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",136,86,50
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",400,344,56
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",130,125,5
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",94,38,56
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",209,157,52
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",217,169,48
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",266,138,128
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",350,123,227
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",267,200,67
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",6447,4934,1513
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",262,180,82
"Erin CDP, New York: Summary level: 160, state:36> place:24625",164,160,4
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",167,132,35
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",502,408,94
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",58,34,24
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",166,116,50
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",32,32,0
"Gates CDP, New York: Summary level: 160, state:36> place:28453",2079,1922,157
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",72,72,0
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",364,276,88
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",115,88,27
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",1966,1793,173
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",113,71,42
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",250,240,10
"Bellport village, New York: Summary level: 160, state:36> place:05771",823,714,109
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",2753,2294,459
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",8594,7181,1413
"Springs CDP, New York: Summary level: 160, state:36> place:70387",2679,2299,380
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",3742,2923,819
"Walton village, New York: Summary level: 160, state:36> place:78036",1258,731,527
"Albany city, New York: Summary level: 160, state:36> place:01000",41207,15176,26031
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",1425,884,541
"New York city, New York: Summary level: 160, state:36> place:51000",3154103,1029840,2124263
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",603,433,170
"Phelps village, New York: Summary level: 160, state:36> place:57518",764,487,277
"Falconer village, New York: Summary level: 160, state:36> place:25164",1097,672,425
"Jamestown city, New York: Summary level: 160, state:36> place:38264",12652,6434,6218
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",970,774,196
"Turin village, New York: Summary level: 160, state:36> place:75682",87,76,11
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",5140,4434,706
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",259,255,4
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",562,460,102
"Westbury village, New York: Summary level: 160, state:36> place:79444",4918,3699,1219
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",268,263,5
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",798,451,347
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",166,114,52
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",325,197,128
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",2941,1260,1681
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",233,198,35
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",2122,1636,486
"Phoenix village, New York: Summary level: 160, state:36> place:57661",1086,415,671
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",302,199,103
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",1178,887,291
"Florida village, New York: Summary level: 160, state:36> place:26319",1008,776,232
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",1218,952,266
"Middletown city, New York: Summary level: 160, state:36> place:47042",10331,5744,4587
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",3506,2444,1062
"Walden village, New York: Summary level: 160, state:36> place:77849",2210,1508,702
"West Point CDP, New York: Summary level: 160, state:36> place:80747",882,6,876
"Chester village, New York: Summary level: 160, state:36> place:15297",1418,952,466
"Fishkill village, New York: Summary level: 160, state:36> place:25967",980,361,619
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",2359,2200,159
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",551,363,188
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",1090,304,786
"Philmont village, New York: Summary level: 160, state:36> place:57639",568,230,338
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",15441,8880,6561
"Rochester city, New York: Summary level: 160, state:36> place:63000",86057,31226,54831
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",4376,3644,732
"Sidney village, New York: Summary level: 160, state:36> place:67334",1729,969,760
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",784,684,100
"Elba village, New York: Summary level: 160, state:36> place:23745",235,202,33
"Hudson city, New York: Summary level: 160, state:36> place:35969",2694,862,1832
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",556,274,282
"Brockport village, New York: Summary level: 160, state:36> place:08466",2260,907,1353
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",1203,696,507
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",591,536,55
"Delevan village, New York: Summary level: 160, state:36> place:20115",403,204,199
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",295,162,133
"Gloversville city, New York: Summary level: 160, state:36> place:29443",6159,3252,2907
"Mayfield village, New York: Summary level: 160, state:36> place:46206",321,251,70
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",242,224,18
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",1385,668,717
"Warwick village, New York: Summary level: 160, state:36> place:78355",2912,1744,1168
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",465,360,105
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",22085,17173,4912
"Scottsville village, New York: Summary level: 160, state:36> place:65959",803,641,162
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",1617,1592,25
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",2432,1990,442
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",3641,1507,2134
"Kaser village, New York: Summary level: 160, state:36> place:38934",926,52,874
"Montebello village, New York: Summary level: 160, state:36> place:48090",1673,1534,139
"New City CDP, New York: Summary level: 160, state:36> place:50100",11451,10212,1239
"Pomona village, New York: Summary level: 160, state:36> place:58992",991,901,90
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",319,229,90
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",1006,625,381
"Herkimer village, New York: Summary level: 160, state:36> place:34121",2894,1279,1615
"Middleville village, New York: Summary level: 160, state:36> place:47108",225,195,30
"Beacon city, New York: Summary level: 160, state:36> place:05100",5178,3048,2130
"Victor village, New York: Summary level: 160, state:36> place:77376",1122,895,227
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",273,173,100
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",1358,1004,354
"Union Springs village, New York: Summary level: 160, state:36> place:76155",439,306,133
"Colonie village, New York: Summary level: 160, state:36> place:17332",3013,2383,630
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",613,444,169
"Clayton village, New York: Summary level: 160, state:36> place:16089",884,513,371
"Deferiet village, New York: Summary level: 160, state:36> place:19994",120,72,48
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",162,148,14
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",218,109,109
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",1449,1034,415
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",756,512,244
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",428,363,65
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",773,458,315
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",894,783,111
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",1096,704,392
"Cambridge village, New York: Summary level: 160, state:36> place:11825",824,481,343
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",2901,1444,1457
"Waterford village, New York: Summary level: 160, state:36> place:78520",958,427,531
"Lake George village, New York: Summary level: 160, state:36> place:40508",494,254,240
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",313,200,113
"Malone village, New York: Summary level: 160, state:36> place:44710",2501,1259,1242
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",792,585,207
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",534,473,61
"Little Valley village, New York: Summary level: 160, state:36> place:42829",445,253,192
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",1938,1836,102
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",8269,7771,498
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",13351,10025,3326
"Brownville village, New York: Summary level: 160, state:36> place:10231",407,283,124
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",3581,2333,1248
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",5373,3180,2193
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",3302,2837,465
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",1017,762,255
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",1354,970,384
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",1381,817,564
"Stillwater village, New York: Summary level: 160, state:36> place:71322",735,515,220
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",2714,2255,459
"Great River CDP, New York: Summary level: 160, state:36> place:30235",425,378,47
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",6795,5668,1127
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",8839,7060,1779
"Oakfield village, New York: Summary level: 160, state:36> place:54155",632,463,169
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",2661,2234,427
"Bronxville village, New York: Summary level: 160, state:36> place:08532",2190,1758,432
"Centre Island village, New York: Summary level: 160, state:36> place:13618",184,169,15
"Chittenango village, New York: Summary level: 160, state:36> place:15561",1732,1316,416
"Larchmont village, New York: Summary level: 160, state:36> place:41333",2033,1545,488
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",4036,2477,1559
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",2548,1878,670
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",601,504,97
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",7894,6667,1227
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",1888,1170,718
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",6794,5830,964
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",1332,1242,90
"Great Neck village, New York: Summary level: 160, state:36> place:30169",3089,2348,741
"Kings Point village, New York: Summary level: 160, state:36> place:39694",1306,1264,42
"Peru CDP, New York: Summary level: 160, state:36> place:57364",680,525,155
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",7894,2905,4989
"Watervliet city, New York: Summary level: 160, state:36> place:78674",4716,1546,3170
"East Hills village, New York: Summary level: 160, state:36> place:22260",2348,2334,14
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",3704,2547,1157
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",1379,1186,193
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",301,277,24
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",3043,1485,1558
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",5669,5521,148
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",4790,4432,358
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",1100,1029,71
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",329,315,14
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",1053,920,133
"Margaretville village, New York: Summary level: 160, state:36> place:45557",246,140,106
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",2029,1756,273
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",504,458,46
"Williston Park village, New York: Summary level: 160, state:36> place:82117",2582,2079,503
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",2964,2565,399
"New York Mills village, New York: Summary level: 160, state:36> place:51011",1737,777,960
"Oriskany village, New York: Summary level: 160, state:36> place:55365",607,375,232
"Rome city, New York: Summary level: 160, state:36> place:63418",12622,7071,5551
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",1727,1332,395
"Canton village, New York: Summary level: 160, state:36> place:12331",1513,725,788
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",1321,1137,184
"Piermont village, New York: Summary level: 160, state:36> place:57749",1184,805,379
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",1087,853,234
"Massena village, New York: Summary level: 160, state:36> place:46019",4635,2989,1646
"Potsdam village, New York: Summary level: 160, state:36> place:59564",2107,907,1200
"Unadilla village, New York: Summary level: 160, state:36> place:76001",462,302,160
"Highland CDP, New York: Summary level: 160, state:36> place:34484",2101,1223,878
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",1121,448,673
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",1520,872,648
"New Paltz village, New York: Summary level: 160, state:36> place:50551",1935,514,1421
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",91,81,10
"Deposit village, New York: Summary level: 160, state:36> place:20346",669,397,272
"Corinth village, New York: Summary level: 160, state:36> place:18212",981,621,360
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",703,538,165
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",1821,1307,514
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",1316,1029,287
"White Plains city, New York: Summary level: 160, state:36> place:81677",22929,12028,10901
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",829,443,386
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",92,92,0
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",2203,1738,465
"Scotia village, New York: Summary level: 160, state:36> place:65893",3061,2093,968
"Northville village, New York: Summary level: 160, state:36> place:53770",449,242,207
"Cleveland village, New York: Summary level: 160, state:36> place:16188",283,226,57
"Mexico village, New York: Summary level: 160, state:36> place:46811",642,364,278
"Monticello village, New York: Summary level: 160, state:36> place:48175",2430,722,1708
"Goshen village, New York: Summary level: 160, state:36> place:29542",1990,1023,967
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",1662,871,791
"Maybrook village, New York: Summary level: 160, state:36> place:46162",1370,849,521
"Lacona village, New York: Summary level: 160, state:36> place:40200",250,172,78
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",467,377,90
"Liberty village, New York: Summary level: 160, state:36> place:42224",1469,578,891
"Monroe village, New York: Summary level: 160, state:36> place:47988",2584,2011,573
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",241,189,52
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",460,292,168
"Montgomery village, New York: Summary level: 160, state:36> place:48142",1573,963,610
"Newburgh city, New York: Summary level: 160, state:36> place:50034",9358,2855,6503
"Unionville village, New York: Summary level: 160, state:36> place:76210",260,200,60
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",714,553,161
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",467,290,177
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",183,111,72
"Athens village, New York: Summary level: 160, state:36> place:02902",644,433,211
"Accord CDP, New York: Summary level: 160, state:36> place:00155",182,103,79
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",464,366,98
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",479,436,43
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",12393,6993,5400
"Owego village, New York: Summary level: 160, state:36> place:55882",1703,895,808
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",140,103,37
"Lake Success village, New York: Summary level: 160, state:36> place:40937",766,747,19
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",148,108,40
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",304,241,63
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",92,70,22
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",257,250,7
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",60,60,0
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",132,106,26
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",71,68,3
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",148,110,38
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",506,360,146
